,year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN,make,model,year,generation
229,2013 Ford Super Duty F-350 SRW,20398.0,good,8 cylinders,rwd,gas,114831,white,full-size,clean,automatic,truck,https://denver.craigslist.org/ctd/d/denver-2013-ford-super-duty-350-srw-2wd/7590841903.html,1FT8X3A66DEA87009,FORD,F-350,2013,3.0
323,2018 toyota tacoma trd sport,29900.0,like new,6 cylinders,4wd,gas,98000,,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-2018-toyota-tacoma-trd-4x4/7590653718.html,5TFCZ5AN0JX151794,TOYOTA,Tacoma,2018,3.0
132,2013 Toyota Sienna LE Wheelchair Van,29995.0,,6 cylinders,fwd,gas,88402,white,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2013-toyota-sienna-le/7590862112.html,5TDKK3DC8DS309713,TOYOTA,Sienna,2013,3.0
144,2011 Toyota Sienna Limited Wheelchair Van,26995.0,,6 cylinders,fwd,gas,108060,white,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2011-toyota-sienna-limited/7590864077.html,5TDYK3DC4BS097738,TOYOTA,Sienna,2011,3.0
426,2013 FORD FOCUS,14999.0,,,,gas,83805,black,compact,clean,manual,hatchback,https://denver.craigslist.org/ctd/d/denver-2013-ford-focus-st-4dr-hatchback/7590293564.html,1FADP3L98DL364797,FORD,Focus,2013,3.0
408,2022 MERCEDES-BENZ SPRINTER,,,,4wd,diesel,1,,,clean,automatic,van,https://denver.craigslist.org/ctd/d/boise-2022-mercedes-benz-sprinter-2500/7590280502.html,W1W4ECVY8NT082329,MERCEDES-BENZ,Sprinter,2022,3.0
295,2013 ford escape se,8995.0,excellent,4 cylinders,4wd,gas,113223,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2013-ford-escape-awd-113k/7590646562.html,1FMCU9GX2DUA86236,FORD,Escape,2013,3.0
161,2014 Ford F350 Super Duty Stakebed,51999.0,,,4wd,diesel,127355,white,,clean,automatic,pickup,https://denver.craigslist.org/ctd/d/denver-2014-ford-350-f350-350-super/7590875309.html,1FDRF3HT1EEA80517,FORD,F-350,2014,3.0
100,2008 honda crv ex-l awd,10999.0,excellent,4 cylinders,4wd,gas,98824,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2008-honda-cr-ex-lbelow-carfax/7590856626.html,JHLRE48718C024659,HONDA,CR-V,2008,3.0
240,2008 honda crv ex-l awd,10999.0,excellent,4 cylinders,4wd,gas,98824,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2008-honda-cr-ex-lnew-head/7590700216.html,JHLRE48718C024659,HONDA,CR-V,2008,3.0
